shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_177169,41.287983,-92.631918,425,18207.20064654
p_177169,41.288026,-92.631918,426,18211.97620413
p_177169,41.288491,-92.631916,427,18263.61913586
p_177169,41.28897,-92.631914,428,18316.81689679
p_177169,41.288975,-92.633313,429,18434.00775705
p_177169,41.288977,-92.633868,430,18480.49877644
p_177169,41.288973,-92.634418,431,18526.57257438
p_177169,41.288968,-92.635096,432,18583.36908007
p_177169,41.288959,-92.636614,433,18710.53080205
p_177169,41.288958,-92.636791,434,18725.35791837
p_177169,41.289984,-92.636796,435,18839.30574258
p_177169,41.290427,-92.636802,436,18888.50767762
p_177169,41.290871,-92.636807,437,18937.8198876
p_177169,41.291254,-92.63681,438,18980.35643297
p_177169,41.291321,-92.63681,439,18987.79742231
p_177169,41.291767,-92.636813,440,19037.33061788
p_177169,41.292202,-92.636817,441,19085.64268655
p_177169,41.292636,-92.636821,442,19133.84370197
p_177169,41.293093,-92.636825,443,19184.59903269
p_177169,41.293533,-92.636829,444,19233.4663972
p_177169,41.293978,-92.636828,445,19282.88798583
p_177169,41.2944318823116,-92.6368311182067,446,19333.29664995
p_177169,41.2944255012401,-92.6369641760444,447,19344.46403975
p_177169,41.2944296741579,-92.6369558192581,448,19345.30351899
p_177169,41.294425,-92.637413,449,19383.60034711
p_177169,41.294418,-92.638008,450,19433.44342052
p_177169,41.294405,-92.640927,451,19677.9422297
p_177169,41.294403,-92.641524,452,19727.94726599
p_177169,41.294408,-92.642086,453,19775.02349344
p_177169,41.294414,-92.64268,454,19824.78121412
p_177169,41.294409,-92.643275,455,19874.62132552
p_177169,41.294399,-92.64388,456,19925.30811468
p_177169,41.294402,-92.644508,457,19977.91026644
p_177169,41.294406,-92.644877,458,20008.82078942
p_177169,41.2944018925961,-92.6448857239799,459,20009.68220497
p_177169,41.2944018925961,-92.6450926131036,460,20027.01117718
p_177169,41.292610474621,-92.6450985545555,461,20225.96593721
p_177169,41.2926115517321,-92.6452720166885,462,20240.49596429
p_177169,41.292611,-92.64527,463,20240.67565634
p_177169,41.29261,-92.64572,464,20278.36871888
p_177169,41.292609,-92.646286,465,20325.77814034
p_177169,41.292608,-92.646884,466,20375.86793957
p_177169,41.292607,-92.647461,467,20424.19874201
p_177169,41.292606,-92.648062,468,20474.53982816
p_177169,41.292604,-92.649226,469,20572.03905459
p_177169,41.292603,-92.649595,470,20602.94743454
p_177169,41.292603,-92.649822,471,20621.96141018
p_177169,41.293488,-92.64982,472,20720.24927813
p_177169,41.2934999262679,-92.6492807735288,473,20765.43477231
p_177169,41.2936158890708,-92.6490286821657,474,20790.16778418
p_177169,41.2936809990099,-92.6488078599098,475,20810.02725847
p_177169,41.2936925952708,-92.6483139666116,476,20851.41610972
p_177169,41.2942685401254,-92.6482830982804,477,20915.43254634
p_177169,41.2943690400513,-92.6483396902193,478,20927.55886101
p_177169,41.2943990379746,-92.6485182156309,479,20942.87873909
