link_id,name,from_node_id,to_node_id,length,geometry,link_type,dir_flag,lanes,free_speed,capacity
10023696,30,10006865,10006893,0.402026698,"LINESTRING (-111.81363290000002 33.42227554, -111.8093011 33.42229392)",transit,1,1,65,1900
10023697,30,10006893,10006903,0.402264818,"LINESTRING (-111.8093011 33.42229392, -111.80496670000001 33.42230557)",transit,1,1,65,1900
10023698,30,10006903,10006868,0.409184081,"LINESTRING (-111.80496670000001 33.42230557, -111.80055829999999 33.42236524)",transit,1,1,65,1900
10023699,30,10006868,10006866,0.342616756,"LINESTRING (-111.80055829999999 33.42236524, -111.79686699999999 33.42241147)",transit,1,1,65,1900
10023700,30,10006866,10006845,0.356121697,"LINESTRING (-111.79686699999999 33.42241147, -111.7930305 33.42247413)",transit,1,1,65,1900
10023701,30,10006845,10006836,0.532091554,"LINESTRING (-111.7930305 33.42247413, -111.78729720000001 33.42246064)",transit,1,1,65,1900
10023702,30,10006836,10006763,0.458010355,"LINESTRING (-111.78729720000001 33.42246064, -111.78236319999999 33.4225474)",transit,1,1,65,1900
10023703,30,10006763,10006774,0.483820201,"LINESTRING (-111.78236319999999 33.4225474, -111.77715 33.42254567)",transit,1,1,65,1900
10023704,30,10006774,10006906,0.359158652,"LINESTRING (-111.77715 33.42254567, -111.7732801 33.42256408)",transit,1,1,65,1900
10023705,30,10006906,10006872,0.32158597,"LINESTRING (-111.7732801 33.42256408, -111.7698152 33.42253194)",transit,1,1,65,1900
10023706,30,10006872,10006881,0.378390715,"LINESTRING (-111.7698152 33.42253194, -111.7657384 33.422579)",transit,1,1,65,1900
10023707,30,10006881,10006664,0.441076999,"LINESTRING (-111.7657384 33.422579, -111.76098590000002 33.42260963)",transit,1,1,65,1900
10023708,30,10006664,10007017,0.36882094,"LINESTRING (-111.76098590000002 33.42260963, -111.7570119 33.42263038)",transit,1,1,65,1900
10023709,30,10007017,10006904,0.386623947,"LINESTRING (-111.7570119 33.42263038, -111.75284599999999 33.42262398)",transit,1,1,65,1900
10023710,30,10006904,10006669,0.461632983,"LINESTRING (-111.75284599999999 33.42262398, -111.7478719 33.42263984)",transit,1,1,65,1900
10023711,30,10006669,10006680,0.339170118,"LINESTRING (-111.7478719 33.42263984, -111.74421740000001 33.42266111)",transit,1,1,65,1900
10023712,30,10006680,10006691,0.398818401,"LINESTRING (-111.74421740000001 33.42266111, -111.73992009999999 33.42265568)",transit,1,1,65,1900
10023713,30,10006691,10006844,0.372266347,"LINESTRING (-111.73992009999999 33.42265568, -111.73590890000001 33.42265103)",transit,1,1,65,1900
10023714,30,10006844,10006231,0.344340079,"LINESTRING (-111.73590890000001 33.42265103, -111.732199 33.42269631)",transit,1,1,65,1900
10023715,30,10006231,10006711,0.315386877,"LINESTRING (-111.732199 33.42269631, -111.7288007 33.42270703)",transit,1,1,65,1900
10023716,30,10006711,10006719,0.218279696,"LINESTRING (-111.7288007 33.42270703, -111.72644890000001 33.42273168)",transit,1,1,65,1900
10023717,30,10006719,10006730,0.439072352,"LINESTRING (-111.72644890000001 33.42273168, -111.7217179 33.42271381)",transit,1,1,65,1900
10023718,30,10006730,10006860,0.293556396,"LINESTRING (-111.7217179 33.42271381, -111.71855520000001 33.42267191)",transit,1,1,65,1900
10023719,30,10006860,10006783,0.325157913,"LINESTRING (-111.71855520000001 33.42267191, -111.71505159999998 33.42267778)",transit,1,1,65,1900
10023720,30,10006783,10006794,0.462343983,"LINESTRING (-111.71505159999998 33.42267778, -111.71006979999999 33.42267753)",transit,1,1,65,1900
10023721,30,10006794,10006806,0.400300804,"LINESTRING (-111.71006979999999 33.42267753, -111.70575659999999 33.42269938)",transit,1,1,65,1900
10023722,30,10006806,10006902,0.392777561,"LINESTRING (-111.70575659999999 33.42269938, -111.7015244 33.42270926)",transit,1,1,65,1900
10023723,30,10006902,10006817,0.803120111,"LINESTRING (-111.7015244 33.42270926, -111.69287150000001 33.42280765)",transit,1,1,65,1900
10023724,30,10006817,10007696,0.874564114,"LINESTRING (-111.69287150000001 33.42280765, -111.68344809999999 33.42276751)",transit,1,1,65,1900
10023725,30,10007696,10007697,0.88800454,"LINESTRING (-111.68344809999999 33.42276751, -111.6738955 33.42230996)",transit,1,1,65,1900
10023726,30,10007697,10007699,0.588066942,"LINESTRING (-111.6738955 33.42230996, -111.66758689999999 33.42181482)",transit,1,1,65,1900
10023727,45,10002270,10002658,0.545833264,"LINESTRING (-111.68868400000001 33.387675, -111.68450039999999 33.39112385)",transit,1,1,65,1900
10023728,45,10002658,10002659,0.358389904,"LINESTRING (-111.68450039999999 33.39112385, -111.6845463 33.3943467)",transit,1,1,65,1900
10023729,45,10002659,10002654,0.562496592,"LINESTRING (-111.6845463 33.3943467, -111.6845023 33.39940522)",transit,1,1,65,1900
10023730,45,10002654,10006867,1.276877955,"LINESTRING (-111.6845023 33.39940522, -111.68778049999999 33.4105576)",transit,1,1,65,1900
10023731,45,10006867,10004531,0.753899594,"LINESTRING (-111.68778049999999 33.4105576, -111.6958612 33.41124241)",transit,1,1,65,1900
10023732,45,10004531,10004532,0.210531304,"LINESTRING (-111.6958612 33.41124241, -111.69707509999999 33.4128418)",transit,1,1,65,1900
10023733,45,10004532,10004533,0.400695049,"LINESTRING (-111.69707509999999 33.4128418, -111.70123240000001 33.41381305)",transit,1,1,65,1900
